session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train5,picture_file
train5,list4,1,Apfel_neu,Apfel,neu,1,LFP,SN,cblock,food,Apfel_weiss,apfel_weiss.png
train5,list4,2,Ball_rot,Ball,rot,2,HFP,SN,cblock,tool,Ball_schwarz,ball_schwarz.png
train5,list4,3,Brille_klein,Brille,klein,10,LFP,SN,cblock,etc,Brille_gruen,brille_gruen.png
train5,list4,4,Brot_neu,Brot,neu,11,LFP,SN,cblock,food,Brot_rot,brot_rot.png
train5,list4,5,Buch_gruen,Buch,gruen,12,LFP,SN,cblock,etc,Buch_schwarz,buch_schwarz.png
train5,list4,6,Bus_neu,Bus,neu,14,HFP,SN,cblock,transportation,Bus_gruen,bus_gruen.png
train5,list4,7,Fabrik_gross,Fabrik,gross,18,HFP,SN,cblock,building,Fabrik_schwarz,fabrik_schwarz.png
train5,list4,8,Flugzeug_neu,Flugzeug,neu,22,HFP,SN,cblock,transportation,Flugzeug_rot,flugzeug_rot.png
train5,list4,9,Haus_schwarz,Haus,schwarz,26,LFP,SN,cblock,building,Haus_rot,haus_rot.png
train5,list4,10,Pfeil_gruen,Pfeil,gruen,44,HFP,SN,cblock,etc,Pfeil_weiss,pfeil_weiss.png
train5,list4,11,Rock_schwarz,Rock,schwarz,47,HFP,SN,cblock,clothing,Rock_rot,rock_rot.png
train5,list4,12,Schuh_weiss,Schuh,weiss,50,LFP,SN,cblock,clothing,Schuh_gruen,schuh_gruen.png
train5,list4,13,Tisch_alt,Tisch,alt,54,LFP,SN,cblock,furniture,Tisch_weiss,tisch_weiss.png
train5,list4,14,Tomate_gruen,Tomate,gruen,55,HFP,SN,cblock,vegetable,Tomate_schwarz,tomate_schwarz.png
train5,list4,15,Zwiebel_rot,Zwiebel,rot,66,HFP,SN,cblock,vegetable,Zwiebel_schwarz,zwiebel_schwarz.png
train5,list4,16,Zweig_gruen,Zweig,gruen,65,HFP,SP,cblock,nature,Zweig_gruen,zweig_gruen.png
train5,list4,17,Frau_rot,Frau,rot,23,LFP,SP,cblock,human,Frau_rot,frau_rot.png
train5,list4,18,Dach_weiss,Dach,weiss,15,LFP,SP,cblock,building,Dach_weiss,dach_weiss.png
train5,list4,19,Wolke_schwarz,Wolke,schwarz,60,HFP,SP,cblock,nature,Wolke_schwarz,wolke_schwarz.png
train5,list4,20,Mann_weiss,Mann,weiss,38,HFP,SP,cblock,human,Mann_weiss,mann_weiss.png
train5,list4,21,Baum_schwarz,Baum,schwarz,3,LFP,SP,cblock,nature,Baum_schwarz,baum_schwarz.png
train5,list4,22,Erde_rot,Erde,rot,17,HFP,SP,cblock,nature,Erde_rot,erde_rot.png
train5,list4,23,Bild_gruen,Bild,gruen,5,LFP,SP,cblock,furniture,Bild_gruen,bild_gruen.png
train5,list4,24,Blume_rot,Blume,rot,7,HFP,SP,cblock,nature,Blume_rot,blume_rot.png
train5,list4,25,Glas_rot,Glas,rot,25,LFP,SP,cblock,tool,Glas_rot,glas_rot.png
train5,list4,26,Rose_weiss,Rose,weiss,48,HFP,SP,cblock,nature,Rose_weiss,rose_weiss.png
train5,list4,27,Pflanze_gruen,Pflanze,gruen,45,HFP,SP,cblock,nature,Pflanze_gruen,pflanze_gruen.png
train5,list4,28,Tuer_schwarz,Tuer,schwarz,57,LFP,SP,cblock,building,Tuer_schwarz,tuer_schwarz.png
