session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train6,picture_file
train6,list4,32,Blatt_schwarz,Blatt,schwarz,6,LFP,SN,ncblock,nature,Blatt_klein,blatt_klein.png
train6,list4,33,Buch_gruen,Buch,gruen,12,LFP,SN,ncblock,etc,Buch_gross,buch_gross.png
train6,list4,34,Burg_alt,Burg,alt,13,HFP,SN,ncblock,building,Burg_klein,burg_klein.png
train6,list4,35,Ei_weiss,Ei,weiss,16,HFP,SN,ncblock,food,Ei_klein,ei_klein.png
train6,list4,36,Fabrik_gross,Fabrik,gross,18,HFP,SN,ncblock,building,Fabrik_klein,fabrik_klein.png
train6,list4,37,Flagge_alt,Flagge,alt,21,LFP,SN,ncblock,etc,Flagge_klein,flagge_klein.png
train6,list4,38,Haus_schwarz,Haus,schwarz,26,LFP,SN,ncblock,building,Haus_gross,haus_gross.png
train6,list4,39,Hut_klein,Hut,klein,30,LFP,SN,ncblock,clothing,Hut_neu,hut_neu.png
train6,list4,40,Kirche_rot,Kirche,rot,34,LFP,SN,ncblock,building,Kirche_klein,kirche_klein.png
train6,list4,41,Krone_neu,Krone,neu,36,HFP,SN,ncblock,etc,Krone_gross,krone_gross.png
train6,list4,42,Nest_klein,Nest,klein,41,HFP,SN,ncblock,building,Nest_gross,nest_gross.png
train6,list4,43,Schuh_weiss,Schuh,weiss,50,LFP,SN,ncblock,clothing,Schuh_alt,schuh_alt.png
train6,list4,44,Tomate_gruen,Tomate,gruen,55,HFP,SN,ncblock,vegetable,Tomate_gross,tomate_gross.png
train6,list4,45,Zeitung_alt,Zeitung,alt,62,HFP,SN,ncblock,etc,Zeitung_gross,zeitung_gross.png
train6,list4,46,Zwiebel_rot,Zwiebel,rot,66,HFP,SN,ncblock,vegetable,Zwiebel_gross,zwiebel_gross.png
train6,list4,47,Hemd_klein,Hemd,klein,27,LFP,SP,ncblock,clothing,Hemd_klein,hemd_klein.png
train6,list4,48,Feder_gross,Feder,gross,20,LFP,SP,ncblock,etc,Feder_gross,feder_gross.png
train6,list4,49,Fahrrad_klein,Fahrrad,klein,19,LFP,SP,ncblock,transportation,Fahrrad_klein,fahrrad_klein.png
train6,list4,50,Kleid_gross,Kleid,gross,35,LFP,SP,ncblock,clothing,Kleid_gross,kleid_gross.png
train6,list4,51,Geschenk_neu,Geschenk,neu,24,LFP,SP,ncblock,etc,Geschenk_neu,geschenk_neu.png
train6,list4,52,Schale_klein,Schale,klein,49,HFP,SP,ncblock,tool,Schale_klein,schale_klein.png
train6,list4,53,Wueste_gross,Wueste,gross,61,HFP,SP,ncblock,nature,Wueste_gross,wueste_gross.png
train6,list4,54,Turm_alt,Turm,alt,58,HFP,SP,ncblock,building,Turm_alt,turm_alt.png
train6,list4,55,Kaffee_neu,Kaffee,neu,31,LFP,SP,ncblock,food,Kaffee_neu,kaffee_neu.png
train6,list4,56,Bombe_klein,Bombe,klein,8,HFP,SP,ncblock,etc,Bombe_klein,bombe_klein.png
train6,list4,57,Palast_neu,Palast,neu,43,LFP,SP,ncblock,building,Palast_neu,palast_neu.png
train6,list4,58,Brief_alt,Brief,alt,9,HFP,SP,ncblock,tool,Brief_alt,brief_alt.png
train6,list4,59,Kamera_neu,Kamera,neu,32,HFP,SP,ncblock,tool,Kamera_neu,kamera_neu.png
train6,list4,60,Kerze_alt,Kerze,alt,33,LFP,SP,ncblock,etc,Kerze_alt,kerze_alt.png
train6,list4,61,Paket_alt,Paket,alt,42,LFP,SP,ncblock,etc,Paket_alt,paket_alt.png
train6,list4,62,Tasse_gross,Tasse,gross,52,HFP,SP,ncblock,tool,Tasse_gross,tasse_gross.png
train6,list4,63,Mauer_alt,Mauer,alt,40,HFP,SP,ncblock,building,Mauer_alt,mauer_alt.png
train6,list4,64,Zug_alt,Zug,alt,64,LFP,SP,ncblock,transportation,Zug_alt,zug_alt.png
train6,list4,65,Zelt_alt,Zelt,alt,63,LFP,SP,ncblock,building,Zelt_alt,zelt_alt.png
train6,list4,66,Rad_neu,Rad,neu,46,HFP,SP,ncblock,etc,Rad_neu,rad_neu.png
